listing_url,title,stock_type,price,location,km_driven,fuel_type,transmission,reg_state,other_specs
https://www.cars24.com/buy-used-maruti-swift-2023-cars-hyderabad-10496773111/,,,,,,,,,[]
https://www.cars24.com/buy-used-hyundai-elite-i20-2019-cars-hyderabad-12265678196/,,,,,,,,,[]
https://www.cars24.com/buy-used-tata-nexon-2023-cars-hyderabad-10433492101/,,,,,,,,,[]
https://www.cars24.com/buy-used-maruti-swift-2020-cars-hyderabad-10412694107/,,,,,,,,,[]
https://www.cars24.com/buy-used-maruti-swift-2022-cars-hyderabad-10051494130/,,,,,,,,,[]
https://www.cars24.com/buy-used-tata-nexon-2022-cars-hyderabad-10470792126/,,,,,,,,,[]
https://www.cars24.com/buy-used-renault-kwid-2023-cars-hyderabad-10452963764/,,,,,,,,,[]
https://www.cars24.com/buy-used-kia-seltos-2021-cars-hyderabad-10493676156/,,,,,,,,,[]
https://www.cars24.com/buy-used-maruti-ertiga-2016-cars-hyderabad-10469272153/,,,,,,,,,[]
https://www.cars24.com/buy-used-hyundai-grand-i10-2019-cars-hyderabad-10417092101/,,,,,,,,,[]
https://www.cars24.com/buy-used-maruti-celerio-2021-cars-hyderabad-10776772195/,,,,,,,,,[]
https://www.cars24.com/buy-used-hyundai-santro-xing-2014-cars-hyderabad-19525798106/,,,,,,,,,[]
https://www.cars24.com/buy-used-hyundai-creta-2018-cars-hyderabad-10412099185/,,,,,,,,,[]
https://www.cars24.com/buy-used-ford-ecosport-2017-cars-hyderabad-10442496142/,,,,,,,,,[]
https://www.cars24.com/buy-used-tata-altroz-2021-cars-hyderabad-12218574193/,,,,,,,,,[]
https://www.cars24.com/buy-used-maruti-dzire-2018-cars-hyderabad-10443978177/,,,,,,,,,[]
https://www.cars24.com/buy-used-maruti-vitara-brezza-2022-cars-hyderabad-12233171175/,,,,,,,,,[]
https://www.cars24.com/buy-used-honda-amaze-2021-cars-hyderabad-10423993163/,,,,,,,,,[]
https://www.cars24.com/buy-used-skoda-slavia-2022-cars-hyderabad-10431770171/,,,,,,,,,[]
https://www.cars24.com/buy-used-maruti-baleno-2017-cars-hyderabad-10434179150/,,,,,,,,,[]
https://www.cars24.com/buy-used-mahindra-xuv700-2022-cars-hyderabad-10486470157/,2022 Mahindra XUV700,Cars24 Owned Stock,₹12.24 lakh,"Kompally, Hyderabad","45,924 km",Petrol,Manual,TS-11,[]
